Runner,Time,Date
Michael McFadden,25.289,2004-08-04
IsraeliRD,24.616,2006-02-27
IsraeliRD,22.743,2006-04-10
Xelna,20.359,2006-07-29
IsraeliRD,19.849,2006-08-18
Rigel,19.x,2008-XX-XX
Xelna,19.02,2009-01-06
Xelna,18.969,2009-01-06
Xelna,18.876,2009-01-07
Xelna,18.861,2009-01-07
Xelna,18.829,2009-01-07
Xelna,18.798,2009-01-07
Xelna,18.34,2009-06-15
Xelna,18.29,2009-06-15
Xelna,18.26,2009-06-15
Xelna,18.25,2009-06-15
Xelna,18.23,2009-06-15
Xelna,18.17,2009-06-15
Sonic Warrior1,18.15,2009-07-15
Xelna,18.094,2009-07-17
Kalle29,18.050,2018-01-24
DKman00,18.031,2018-03-08
Xedron,18.006,2018-03-08
DKman00,18.000,2018-03-10
DKman00,17.938,2018-03-11
DKman00,17.924,2018-11-13
DKman00,17.911,2019-02-25
Xedron,17.907,2019-03-15
Xedron,17.894,2019-03-15
Xedron,17.857,2019-03-15
Xedron,17.803,2019-03-15
Xedron,17.784,2019-03-15
HappyTreeX1,17.743,2022-01-01
