Runner,Time,Date
Michael McFadden,19.729,2004-08-04
IsraeliRD,16.321,2006-02-24
Xelna,11.781,2006-07-16
IsraeliRD,9.344,2006-07-26
IsraeliRD,9.023,2006-07-26
IsraeliRD,8.29,2006-07-26
IsraeliRD,7.41,2006-07-XX
Xelna,6.406,2006-08-15
Xelna,6.01,2006-08-16
Xelna,5.98,2006-08-16
Xelna,5.960,2009-01-18
Xelna,5.95,2009-01-18
Xelna,5.88,2009-01-18
Xelna,5.83,2009-01-18
Xelna,5.788,2009-01-18
Xelna,4.58,2009-01-23
Xelna,4.571,2009-01-23
Xelna,4.555,2011-08-24
Powerjohn25,4.368,2014-10-12
Nature Freak,4.347,2015-10-20
Nature Freak,4.346,2015-10-21
Nature Freak,4.342,2015-10-23
Nature Freak,4.338,2015-10-24
Nature Freak,4.302,2015-10-24
Xelna,4.287,2020-04-23
